   bucket  window_10  window_20  window_30  window_50
mat1_mon1   0.007058   0.016692   0.022901   0.028392
mat1_mon2  -0.013125  -0.011052  -0.009409  -0.008301
mat1_mon3  -0.013013  -0.010340  -0.008595  -0.007508
mat1_mon4  -0.012949  -0.009937  -0.007713  -0.003971
mat2_mon1  -0.019440  -0.019191  -0.019136  -0.019655
mat2_mon2  -0.020217  -0.020040  -0.019969  -0.020197
mat2_mon3  -0.003717   0.001275   0.003462   0.002474
mat2_mon4  -0.014052  -0.012330  -0.011280  -0.009696
mat3_mon1  -0.021143  -0.021180  -0.021210  -0.021294
mat3_mon2  -0.019813  -0.019154  -0.018760  -0.018289
mat3_mon3  -0.004517  -0.002166  -0.000965  -0.001918
mat3_mon4  -0.015173  -0.013919  -0.012608  -0.010730
mat4_mon1  -0.021199  -0.021225  -0.021247  -0.021293
mat4_mon2  -0.008528  -0.006831  -0.006422  -0.006520
mat4_mon3  -0.007995  -0.005576  -0.003584  -0.002386
mat4_mon4  -0.018258  -0.018190  -0.018392  -0.019568
