# lag acf_value
5.00000000 1.06725399
6.00000000 1.08044606
7.00000000 1.09398317
8.00000000 1.10785906
9.00000000 1.12218446
10.00000000 1.13684027
11.00000000 1.15186804
12.00000000 1.16730133
13.00000000 1.18316117
14.00000000 1.19949324
15.00000000 1.21624749
16.00000000 1.23350451
17.00000000 1.25124325
18.00000000 1.26947092
19.00000000 1.28810395
20.00000000 1.30755896
21.00000000 1.32755592
22.00000000 1.34825448
23.00000000 1.36956420
24.00000000 1.39146356
25.00000000 1.41420046
26.00000000 1.43770112
27.00000000 1.46190981
28.00000000 1.48700800
29.00000000 1.51295125
30.00000000 1.53982751
31.00000000 1.56767485
32.00000000 1.59657960
33.00000000 1.62650008
34.00000000 1.65670042
35.00000000 1.68901135
36.00000000 1.72267294
37.00000000 1.75764317
38.00000000 1.79410052
39.00000000 1.83216426
40.00000000 1.87186196
41.00000000 1.91324591
42.00000000 1.95652020
43.00000000 2.00182304
44.00000000 2.04934501
45.00000000 2.09911851
46.00000000 2.15154160
47.00000000 2.20606508
48.00000000 2.26386373
49.00000000 2.32470973
50.00000000 2.38905448
51.00000000 2.45704659
52.00000000 2.52908283
53.00000000 2.60538482
54.00000000 2.68649013
55.00000000 2.77277847
56.00000000 2.86496122
57.00000000 0.00907336
58.00000000 0.00900407
59.00000000 0.00917328
60.00000000 0.00901668
61.00000000 0.00915017
62.00000000 0.00933465
63.00000000 0.00935358
64.00000000 0.00956405
65.00000000 0.00950278
66.00000000 0.00941124
67.00000000 0.00945516
68.00000000 0.00966360
69.00000000 0.01003568
70.00000000 0.01022407
71.00000000 0.01066272
72.00000000 0.01125292
73.00000000 0.00981009
74.00000000 0.00991641
75.00000000 0.01001036
76.00000000 0.00986680
77.00000000 0.00969641
78.00000000 0.00955800
79.00000000 0.01025430
80.00000000 0.01099889
81.00000000 0.01054202
82.00000000 0.01085628
83.00000000 0.01249682
84.00000000 0.01221159
85.00000000 0.01379120
