# lag acf_value
5.00000000 1.06172265
6.00000000 1.07395149
7.00000000 1.08648994
8.00000000 1.09934987
9.00000000 1.11254294
10.00000000 1.12608457
11.00000000 1.05554224
12.00000000 0.98092980
13.00000000 0.99322404
14.00000000 1.00586015
15.00000000 1.01885244
16.00000000 1.03221572
17.00000000 1.04596546
18.00000000 1.06012053
19.00000000 1.07469822
20.00000000 1.08971768
21.00000000 1.10519925
22.00000000 1.12116458
23.00000000 1.13763673
24.00000000 0.94783333
25.00000000 0.96200408
26.00000000 0.97664731
27.00000000 0.99178683
28.00000000 1.00744834
29.00000000 1.02365940
30.00000000 1.04044954
31.00000000 1.05784949
32.00000000 1.07589470
33.00000000 1.09462015
34.00000000 1.11406625
35.00000000 1.13427537
36.00000000 1.02612791
37.00000000 0.91563044
38.00000000 0.93296820
39.00000000 0.95104391
40.00000000 0.96990540
41.00000000 0.98960429
42.00000000 1.01019959
43.00000000 1.03175189
44.00000000 1.05433133
45.00000000 1.07801224
46.00000000 1.10287706
47.00000000 1.12901714
48.00000000 1.15653310
49.00000000 0.83926584
50.00000000 0.86026181
51.00000000 0.88245753
52.00000000 0.90595859
53.00000000 0.93088425
54.00000000 0.95736764
55.00000000 0.98555971
56.00000000 1.01563107
57.00000000 1.04777657
58.00000000 1.08221810
59.00000000 1.11921123
60.00000000 1.15904949
61.00000000 0.68985296
62.00000000 0.71512142
63.00000000 0.74258716
64.00000000 0.77254623
65.00000000 0.80536207
66.00000000 0.84145968
67.00000000 0.88135295
68.00000000 0.92568302
69.00000000 0.97522804
70.00000000 1.03096593
71.00000000 1.09413621
72.00000000 1.16633096
73.00000000 1.24963182
74.00000000 0.27812517
75.00000000 0.29582603
76.00000000 0.31706685
77.00000000 0.34302809
78.00000000 0.37547954
79.00000000 0.41720168
80.00000000 0.47283267
81.00000000 0.55071606
82.00000000 0.66754165
83.00000000 0.86225228
84.00000000 1.25163366
85.00000000 2.41988782
